epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1398.74,1.48073,0.67941,0.00332,0.75893,0.76252,0.81181,0.53386,1.35532,0.80989,0.0041,0.0011882,0.0011882,0.0011882
43,1430.15,1.50214,0.68,0.00332,0.77195,0.73534,0.81219,0.53581,1.34183,0.86577,0.00405,0.0011684,0.0011684,0.0011684
44,1461.54,1.49926,0.69016,0.00332,0.7689,0.7568,0.79461,0.53376,1.3208,0.84264,0.00396,0.0011486,0.0011486,0.0011486
45,1492.3,1.42317,0.67477,0.00325,0.82368,0.72848,0.79488,0.52741,1.37276,1.05944,0.00422,0.0011288,0.0011288,0.0011288
46,1523.26,1.498,0.70761,0.00345,0.71039,0.76395,0.77342,0.50567,1.35764,0.94389,0.00412,0.001109,0.001109,0.001109
47,1554.04,1.37079,0.63713,0.00337,0.7903,0.72248,0.76667,0.52108,1.34442,1.15729,0.00405,0.0010892,0.0010892,0.0010892
48,1585.09,1.47792,0.66537,0.00328,0.7716,0.74964,0.77778,0.52006,1.37819,1.03001,0.00414,0.0010694,0.0010694,0.0010694
49,1616.41,1.43428,0.63828,0.00323,0.7778,0.72614,0.76827,0.50675,1.40164,0.99858,0.00419,0.0010496,0.0010496,0.0010496
50,1649.57,1.4843,0.66237,0.00318,0.76248,0.73391,0.77681,0.52039,1.34437,0.93281,0.00404,0.0010298,0.0010298,0.0010298
51,1682.03,1.44661,0.64952,0.00318,0.79028,0.74535,0.77234,0.51918,1.39108,1.24216,0.00422,0.00101,0.00101,0.00101
52,1716.01,1.44019,0.63675,0.00332,0.77444,0.75823,0.77657,0.52294,1.38539,1.16331,0.0042,0.0009902,0.0009902,0.0009902
53,1748.68,1.50132,0.67199,0.00317,0.81218,0.7568,0.7828,0.52868,1.36578,1.25075,0.00408,0.0009704,0.0009704,0.0009704
54,1779.87,1.43993,0.66137,0.00329,0.81721,0.73963,0.78471,0.52428,1.39117,1.29716,0.0042,0.0009506,0.0009506,0.0009506
55,1810.54,1.38638,0.61085,0.0032,0.80657,0.74392,0.78887,0.53536,1.37441,1.27777,0.0041,0.0009308,0.0009308,0.0009308
56,1841.61,1.4383,0.64295,0.00336,0.78651,0.75966,0.78393,0.52884,1.36026,1.24549,0.00412,0.000911,0.000911,0.000911
57,1872.14,1.42831,0.64117,0.00316,0.8342,0.74137,0.78648,0.52276,1.36524,1.17009,0.00413,0.0008912,0.0008912,0.0008912
58,1903.4,1.38705,0.61597,0.00321,0.79959,0.73963,0.77544,0.5191,1.37078,1.0993,0.00421,0.0008714,0.0008714,0.0008714
59,1934.84,1.46235,0.64472,0.00307,0.79737,0.74249,0.78951,0.52939,1.34189,1.01669,0.00405,0.0008516,0.0008516,0.0008516
60,1966.26,1.46113,0.64218,0.00327,0.75795,0.76538,0.77732,0.52889,1.34044,1.15092,0.00399,0.0008318,0.0008318,0.0008318
